100,16,24,128,91,3.044,80,3.5,1,34.133
102,12,12,72,88,0.5,88,0.5,1,26.967
104,12,16,116,71,1.5352,70,1.5143,1,28.454
105,12,16,108,79,1.2785,78,1.2564,1,29.193
109,12,16,123,98,0.83674,96,0.83333,1,34.244
10,12,20,53,101,1.2574,98,1.2449,1,28.301
110,24,24,60,115,3.8,114,3.8421,1,34.044
118,8,24,22,41,3.4878,38,3.4211,1,13.82
119,8,40,80,96,2.25,84,2.3333,1,30.877
11,8,16,65,80,0.5,75,0.49333,1,24.2
120,12,20,40,76,2,73,2.0137,1,22.227
121,12,16,160,60,2,58,2.0345,1,30.625
122,12,16,64,80,1.25,58,2.0345,1,23.044
123,16,20,72,86,2.5349,104,1.8846,1,29.873
124,16,24,96,114,2.2281,89,3.0449,1,34.007
12,8,16,64,60,1,56,1,1,20.349
0,14,10,45,51,1.4706,55,1.3636,1,17.566
0,12,14,97,59,1.6441,39,2.9487,1,22.284
152,12,16,96,135,0.33333,88,1,1,34.408
153,4,35,30,38,2.5789,24,3.375,1,13.528
154,3,34,35,38,1.6053,18,2.7778,1,13.077
15,14,16,67,34,5.1765,118,0.76271,1,25.183
164,16,16,129,80,2,102,1.3529,1,34.213
17,8,9,22,40,0.6,35,0.8,1,11.399
18,12,18,50,82,1.4878,69,1.8696,1,23.15
19,12,12,24,44,2,42,2.1429,1,13.646
20,16,20,56,78,2.8974,76,2.9474,1,24.877
21,12,8,24,42,1,42,1.0952,1,12.851
22,13,20,29,56,3.4107,50,3.8,1,17.307
23,14,28,69,116,2.2586,111,2.2793,1,33.836
24,12,18,41,67,2.0448,47,3.2128,1,18.794
26,18,20,44,85,3.0235,81,3.1975,1,25.112
27,18,19,40,77,3.2078,75,3.3067,1,23.264
28,18,20,63,108,2.1667,83,3.0964,1,29.364
29,12,16,36,58,2.1034,62,1.8387,1,18.565
32,12,20,52,86,1.6512,90,1.4444,1,25.989
33,12,20,42,78,1.9231,73,2.0137,1,22.614
34,12,20,44,81,1.8148,78,1.8205,1,23.572
37,12,20,42,78,1.9231,69,2.1884,1,22.237
39,8,12,32,59,0.49152,56,0.5,1,16.594
40,8,12,32,59,0.49152,56,0.5,1,16.594
41,8,12,64,59,0.49152,56,0.5,1,19.755
42,8,12,64,59,0.49152,56,0.5,1,19.755
43,9,49,31,59,6.322,58,5.7586,1,21.542
44,8,12,72,44,1,42,1,1,17.78
45,8,16,20,38,2.1579,36,2.1111,1,12.078
46,16,20,42,79,2.8481,76,2.9474,1,23.588
